Gene;P-I;P-II;P-III;A-I;A-II;A-III;S-I;S-II;S-III
Herpud2;321.9935698;288.5414875;290.7560511;257.5983761;268.7106359;271.720348;292.1541491;300.8807553;314.7849451
sep-07;3227.281559;2952.540846;3189.310844;3306.498305;3252.033444;3113.992665;3009.339111;3280.540485;3418.324492
Eepd1;22.03758272;34.06392561;29.59021759;22.70623984;28.56372901;39.84493902;33.3025455;33.84908497;40.61741227
Gm39312;1.224310151;1.001880165;0;0;3.173747668;2.767009654;0;2.820757081;0
B3gat1;11.01879136;3.005640495;15.43837439;8.612711662;23.27414957;13.28164634;10.59626448;13.16353304;7.38498405
Glb1l2;46.52378575;52.09776858;46.31512318;27.40408256;39.14288791;25.45648882;25.73378516;32.90883261;34.15555123
Gm1110;0;1.001880165;0;3.13189515;0;3.873813516;1.513752068;2.820757081;1.846246012
Acad8;259.5537521;234.4399586;236.7217407;179.3009973;186.1931965;172.6614024;190.7327606;194.6322386;216.0107835
Thyn1;714.9971283;775.4552477;899.2853085;891.8071439;862.2014498;775.3161051;946.0950425;854.6893954;1008.973446
Vps26b;1122.692409;1134.128347;999.634742;829.9522147;1018.773001;1073.046344;1114.121522;1041.799615;1129.90256
Ncapd3;199.5625547;150.2820247;200.6988671;235.67511;244.3785704;242.3900457;180.1364961;173.0064343;167.0852641
Jam3;696.6324761;717.3461981;584.0851646;935.653676;820.9427301;795.2385746;988.4801004;915.8057989;976.6641406
Gm48796;4.897240605;4.00752066;11.5787808;2.348921362;5.289579447;9.407832824;7.56876034;0;6.461861044
Igsf9b;115.0851542;126.2369008;104.2090272;79.08035254;88.8649347;105.6997688;90.82512408;94.96548838;78.46545553
Opcml;0;10.01880165;7.719187197;4.697842725;10.57915889;6.64082317;12.11001654;9.402523602;4.615615031
Ntm;13.46741166;10.01880165;18.01143679;40.71463695;59.2432898;47.59256605;39.35755377;29.14782317;28.61681319
Snx19;83.25309029;89.16733468;86.19759037;123.7098584;92.03868237;111.78719;125.6414216;94.02523602;139.3915739
Adamts15;23.26189287;34.06392561;32.16327999;26.62110877;29.6216449;32.09731199;72.66009927;90.26422658;72.00359449
