sample,Gene,Z-score,group,replicate
P-I,Afap1,-0.27079173680156643,Posterior,1
P-I,Afap1l1,0.792567686657896,Posterior,1
P-I,Afap1l2,-0.18123508164190208,Posterior,1
P-I,Afdn,-0.699330694436354,Posterior,1
P-I,Aff1,-0.45376868057424063,Posterior,1
P-I,Aff3,-0.39109859957458487,Posterior,1
P-I,Aff4,-0.23076567016608998,Posterior,1
P-I,Afg1l,-2.714171143132195,Posterior,1
P-I,Afg2a,-0.8642318975479718,Posterior,1
P-I,Afg2b,-1.8398425911992982,Posterior,1
P-I,Afg3l1,-0.2561393084568678,Posterior,1
P-I,Afg3l2,-0.1900255216348233,Posterior,1
P-I,Afm,-1.3599937096810832,Posterior,1
P-I,Afp,0.9269347048201195,Posterior,1
P-I,Aftph,-0.07018298865328033,Posterior,1
P-I,Aga,2.07643141707289,Posterior,1
P-I,Agap1,-1.5063668524649374,Posterior,1
P-I,Agap3,-0.27590384136669976,Posterior,1
P-I,Agbl5,-0.9288289750640799,Posterior,1
P-I,Agfg1,-2.3008698455068686,Posterior,1
P-I,Agfg2,-0.1198071653548877,Posterior,1
P-I,Aggf1,-0.8537928578018913,Posterior,1
P-I,Agk,-0.8615324653394435,Posterior,1
P-I,Agl,-2.5124287776485215,Posterior,1
P-I,Ago1,1.433568430737021,Posterior,1
P-I,Ago2,1.583248220797009,Posterior,1
P-I,Ago3,0.7646735817790767,Posterior,1
P-I,Agpat1,0.062168712500148514,Posterior,1
P-I,Agpat2,2.359125001549466,Posterior,1
P-I,Agpat3,0.9299176450750157,Posterior,1
P-I,Agpat4,-0.02561041660267368,Posterior,1
P-I,Agpat5,1.9836564494063849,Posterior,1
P-I,Agps,0.5163157680774368,Posterior,1
P-I,Agrn,-0.622226939845103,Posterior,1
P-I,Agtpbp1,-1.7398974341679467,Posterior,1
P-I,Ahctf1,1.4081126669760153,Posterior,1
P-I,Ahcy,-1.7725944859986118,Posterior,1
P-I,Ahcyl1,0.6765291460224704,Posterior,1
P-I,Ahcyl2,1.382526806533027,Posterior,1
P-I,Ahdc1,-1.5642503000801482,Posterior,1
P-I,Ahi1,1.941861401376632,Posterior,1
P-I,Ahnak,-1.204267772662565,Posterior,1
P-I,Ahr,-1.0519621372342316,Posterior,1
P-I,Ahsa1,0.6018907174951813,Posterior,1
P-I,Ahsa2,-0.5738624839861437,Posterior,1
P-I,Ahsg,-0.796296973636561,Posterior,1
P-I,Ahsp,-1.2190097462974374,Posterior,1
P-I,Aida,-0.3981259347557509,Posterior,1
P-I,Aif1l,-1.1452245502019656,Posterior,1
